Ano;Mês;Distrito;Concelho;Freguesia;Tipo de Lâmpada;Luminárias;Lâmpadas por Luminária;Lâmpadas;Potência Instalada Total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2026;5;Viana do Castelo;Vila Nova de Cerveira;Campos e Vila Meã;Outros/Não definido;23.0;23.0;23.0;180.0;16;1610;161016
2026;5;Viana do Castelo;Vila Nova de Cerveira;Candemil e Gondar;Outros/Não definido;8.0;8.0;8.0;90.0;16;1610;161017
2026;5;Viana do Castelo;Vila Nova de Cerveira;Reboreda e Nogueira;Iodeto Metálico;2.0;2.0;2.0;200.0;16;1610;161018
2026;5;Viana do Castelo;Vila Nova de Cerveira;Reboreda e Nogueira;LED;483.0;483.0;483.0;17391.100006103516;16;1610;161018
2026;5;Vila Real;Boticas;Covas do Barroso;LED;210.0;210.0;210.0;8254.0;17;1702;170208
2026;5;Vila Real;Boticas;Dornelas;Outros/Não definido;3.0;3.0;3.0;135.0;17;1702;170210
2026;5;Vila Real;Boticas;Pinho;Sódio;8.0;8.0;8.0;620.0;17;1702;170213
2026;5;Vila Real;Boticas;Sapiãos;LED;386.0;386.0;386.0;12637.0;17;1702;170215
2026;5;Vila Real;Boticas;Alturas do Barroso e Cerdedo;Mercúrio;3.0;3.0;3.0;240.0;17;1702;170217
2026;5;Vila Real;Boticas;Codessoso, Curros e Fiães do Tâmega;Sódio;3.0;3.0;3.0;210.0;17;1702;170220
2026;5;Viana do Castelo;Ponte da Barca;Bravães;LED;322.0;322.0;322.0;13349.0;16;1606;160603
2026;5;Viana do Castelo;Ponte da Barca;Bravães;Sódio;50.0;50.0;50.0;3240.0;16;1606;160603
2026;5;Viana do Castelo;Ponte da Barca;Britelo;Sódio;116.0;114.0;114.0;8120.0;16;1606;160604
2026;5;Viana do Castelo;Ponte da Barca;Cuide de Vila Verde;Outros/Não definido;7.0;7.0;7.0;;16;1606;160606
2026;5;Viana do Castelo;Ponte da Barca;Lavradas;LED;398.0;398.0;398.0;16335.0;16;1606;160611
2026;5;Viana do Castelo;Ponte da Barca;Lavradas;Outros/Não definido;25.0;25.0;25.0;450.0;16;1606;160611
2026;5;Viana do Castelo;Ponte da Barca;Lindoso;Sódio;207.0;207.0;207.0;15510.0;16;1606;160612
2026;5;Viana do Castelo;Ponte da Barca;Oleiros;Outros/Não definido;61.0;61.0;61.0;140.0;16;1606;160614
2026;5;Viana do Castelo;Ponte da Barca;Sampriz;Sódio;32.0;32.0;32.0;2140.0;16;1606;160619
2026;5;Viana do Castelo;Ponte da Barca;Ponte da Barca, V. N. Muía, Paço Vedro Magalhães;Outros/Não definido;76.0;74.0;77.0;455.0;16;1606;160628
2026;5;Viana do Castelo;Ponte da Barca;Vila Chã (São João Baptista e Santiago);Outros/Não definido;4.0;4.0;4.0;100.0;16;1606;160630
2026;5;Vila Real;Alijó;Alijó;Outros/Não definido;14.0;14.0;14.0;;17;1701;170101
